REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_HORIZ,METHODOLOGY,TIME_PERIOD,OBS_VALUE
AUS,Q,PRVM,IX,BTE,N,_Z,_Z,N,2025-Q3,110.8933
AUS,Q,PRVM,IX,BTE,N,_Z,_Z,N,2025-Q2,110.0392
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2013-Q2,101.8714
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2013-Q1,103.2581
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2012-Q3,104.4411
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2011-Q1,103.7647
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2007-Q3,108.7004
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2017-Q2,99.21394
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2017-Q1,96.57066
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2016-Q4,98.18097
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2016-Q3,98.18663
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2016-Q2,98.49511
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2016-Q1,97.76495
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2015-Q3,99.93845
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2015-Q2,100.5639
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2015-Q1,100.8809
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2014-Q3,100.8526
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2014-Q2,102.5025
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2014-Q1,101.1101
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2013-Q4,103.6345
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2024-Q2,102.6072
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2024-Q1,101.5318
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2023-Q4,101.4497
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2023-Q3,102.1884
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2023-Q2,103.2072
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2023-Q1,102.5817
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2022-Q4,100.8214
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2022-Q3,101.9252
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2022-Q2,102.0016
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2022-Q1,103.1279
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2021-Q4,102.5846
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2021-Q3,99.8309
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2021-Q2,101.7497
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2021-Q1,100.796
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2020-Q4,98.74699
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2020-Q3,97.41968
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2020-Q2,93.49436
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2020-Q1,100.8243
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2019-Q4,99.45734
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2019-Q3,97.68005
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2019-Q2,98.35361
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2019-Q1,99.08093
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2018-Q4,99.75449
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2018-Q3,100.445
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2018-Q2,101.011
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2018-Q1,100.7422
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2017-Q4,98.98754
AUS,Q,PRVM,IX,C,Y,_Z,_Z,N,2017-Q3,100.1507
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,1990-Q1,34.66052
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,1989-Q4,39.28482
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,1989-Q3,39.67199
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2017-Q4,100.4231
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2017-Q3,100.4687
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2016-Q4,95.2093
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2016-Q3,95.28543
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2014-Q4,102.3981
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2025-Q4,108.5798
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2025-Q4,104.2991
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2025-Q3,104.8212
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2025-Q3,107.2508
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2025-Q2,104.9886
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2025-Q2,102.77
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2025-Q1,103.5009
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2025-Q1,94.94394
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2024-Q4,102.6547
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2024-Q4,106.8136
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2024-Q3,105.4193
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2024-Q3,103.242
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2024-Q2,102.8809
AUS,Q,PRVM,IX,F,N,_Z,_Z,N,2024-Q2,105.2453
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2024-Q1,101.8282
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2023-Q4,104.1273
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2023-Q3,102.5699
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2023-Q2,102.8853
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2023-Q1,102.0718
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2022-Q4,100.7624
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2022-Q3,100.6362
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2022-Q2,100.2273
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2022-Q1,100.0707
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2021-Q4,98.95703
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2021-Q3,96.9407
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2021-Q2,99.10929
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2021-Q1,97.74549
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2020-Q4,93.55404
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2020-Q3,92.96458
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2020-Q2,90.1739
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2020-Q1,97.4736
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2019-Q4,97.54973
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2019-Q3,99.48341
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2019-Q2,99.09189
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2019-Q1,100.2882
AUS,Q,PRVM,IX,F,Y,_Z,_Z,N,2018-Q4,100.1512
