REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ADJUSTMENT,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2017,74902.4462167219
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2018,78007.4059243389
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2019,78218.9307319498
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,81320.9806384967
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,90725.7785080496
AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,98695.8414837875
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1995,22132.7183070346
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1996,22809.5930451704
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1997,23566.487170435
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1998,24480.3328757975
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1999,25407.496668991
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2000,26512.52139719
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2001,27277.4570635514
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2002,27850.1053127019
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2003,28397.9939013912
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2004,29444.0864436135
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2005,30680.4138413316
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2006,32164.4077829227
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2007,34020.7109205107
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2008,35071.1728753124
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2009,34319.3321858955
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2010,35169.0203728734
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2011,36736.6985697382
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2012,37571.5315990592
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2013,37888.7571765777
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2014,38637.185197635
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2015,39641.0900769788
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2016,40694.9078732411
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2017,41761.4388192116
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2018,43363.5463361707
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2019,44573.4343497036
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,42651.6193788274
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,45381.2437433957
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,49487.8801997863
AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2023,51827.9114782814
BEL,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2006,30825.8911642017
BEL,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2008,32842.4929971989
BEL,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2019,41730.7772652102
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1995,28380.7307894589
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1996,29038.4218042569
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1997,30325.9405119008
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1998,31190.270405678
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,1999,33154.0909157593
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2000,36045.1258614346
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2001,36895.9205025136
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2002,38065.1942034616
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2003,39653.9004978153
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2004,41821.5683510032
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2005,44090.2464468582
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2006,45948.7007430155
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2007,47969.426510828
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2008,49839.8696940726
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2009,46724.0789782501
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2010,48992.9071724079
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2011,51662.8784327985
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2012,52636.7703303005
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2013,54224.4358426352
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2014,56298.8735190593
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2015,55747.6259713832
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2016,56092.2170575935
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2017,58575.3620699917
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2018,60305.287298281
CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2019,61500.6793865624
