REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ADJUSTMENT,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE
USA,Q,ULCE,_T,PP,V,G1,S,NC,1970-Q1,1.732913
USA,Q,ULCE,_T,PP,V,G1,S,NC,1970-Q2,0.7054792
USA,Q,ULCE,_T,PP,V,G1,S,NC,1970-Q3,0.3644203
USA,Q,ULCE,_T,PP,V,G1,S,NC,1970-Q4,1.402376
USA,Q,ULCE,_T,PP,V,G1,S,NC,1971-Q1,0.1743091
USA,Q,ULCE,_T,PP,V,G1,S,NC,1971-Q2,1.284793
USA,Q,ULCE,_T,PP,V,G1,S,NC,1971-Q3,0.4500132
USA,Q,ULCE,_T,PP,V,G1,S,NC,1971-Q4,1.764125
USA,Q,ULCE,_T,PP,V,G1,S,NC,1972-Q1,1.915296
USA,Q,ULCE,_T,PP,V,G1,S,NC,1972-Q2,-0.5518346
USA,Q,ULCE,_T,PP,V,G1,S,NC,1972-Q3,0.8290967
USA,Q,ULCE,_T,PP,V,G1,S,NC,1972-Q4,1.343858
USA,Q,ULCE,_T,PP,V,G1,S,NC,1973-Q1,0.9196255
USA,Q,ULCE,_T,PP,V,G1,S,NC,1973-Q2,1.168682
USA,Q,ULCE,_T,PP,V,G1,S,NC,1973-Q3,2.739507
USA,Q,ULCE,_T,PP,V,G1,S,NC,1973-Q4,1.413949
USA,Q,ULCE,_T,PP,V,G1,S,NC,1974-Q1,2.88642
USA,Q,ULCE,_T,PP,V,G1,S,NC,1974-Q2,2.207101
USA,Q,ULCE,_T,PP,V,G1,S,NC,1974-Q3,3.424329
USA,Q,ULCE,_T,PP,V,G1,S,NC,1974-Q4,1.808657
USA,Q,ULCE,_T,PP,V,G1,S,NC,1975-Q1,1.918367
USA,Q,ULCE,_T,PP,V,G1,S,NC,1975-Q2,0.6586031
USA,Q,ULCE,_T,PP,V,G1,S,NC,1975-Q3,0.8004412
USA,Q,ULCE,_T,PP,V,G1,S,NC,1975-Q4,1.593313
USA,Q,ULCE,_T,PP,V,G1,S,NC,1976-Q1,0.688365
USA,Q,ULCE,_T,PP,V,G1,S,NC,1976-Q2,1.125968
USA,Q,ULCE,_T,PP,V,G1,S,NC,1976-Q3,1.544082
USA,Q,ULCE,_T,PP,V,G1,S,NC,1976-Q4,1.762883
USA,Q,ULCE,_T,PP,V,G1,S,NC,1977-Q1,1.516832
USA,Q,ULCE,_T,PP,V,G1,S,NC,1977-Q2,1.489436
USA,Q,ULCE,_T,PP,V,G1,S,NC,1977-Q3,0.8107461
USA,Q,ULCE,_T,PP,V,G1,S,NC,1977-Q4,2.891597
USA,Q,ULCE,_T,PP,V,G1,S,NC,1978-Q1,2.609139
USA,Q,ULCE,_T,PP,V,G1,S,NC,1978-Q2,-0.1147493
USA,Q,ULCE,_T,PP,V,G1,S,NC,1978-Q3,1.743392
USA,Q,ULCE,_T,PP,V,G1,S,NC,1978-Q4,1.820064
USA,Q,ULCE,_T,PP,V,G1,S,NC,1979-Q1,3.018917
USA,Q,ULCE,_T,PP,V,G1,S,NC,1979-Q2,2.148702
USA,Q,ULCE,_T,PP,V,G1,S,NC,1979-Q3,2.307729
USA,Q,ULCE,_T,PP,V,G1,S,NC,1979-Q4,2.155295
USA,Q,ULCE,_T,PP,V,G1,S,NC,1980-Q1,2.270842
USA,Q,ULCE,_T,PP,V,G1,S,NC,1980-Q2,3.781225
USA,Q,ULCE,_T,PP,V,G1,S,NC,1980-Q3,2.118428
USA,Q,ULCE,_T,PP,V,G1,S,NC,1980-Q4,1.791815
USA,Q,ULCE,_T,PP,V,G1,S,NC,1981-Q1,0.9785405
USA,Q,ULCE,_T,PP,V,G1,S,NC,1981-Q2,2.638941
USA,Q,ULCE,_T,PP,V,G1,S,NC,1981-Q3,1.109383
USA,Q,ULCE,_T,PP,V,G1,S,NC,1981-Q4,2.632797
USA,Q,ULCE,_T,PP,V,G1,S,NC,1982-Q1,3.024056
USA,Q,ULCE,_T,PP,V,G1,S,NC,1982-Q2,0.7539977
USA,Q,ULCE,_T,PP,V,G1,S,NC,1982-Q3,1.388923
USA,Q,ULCE,_T,PP,V,G1,S,NC,1982-Q4,0.7234629
USA,Q,ULCE,_T,PP,V,G1,S,NC,1983-Q1,0.2396025
USA,Q,ULCE,_T,PP,V,G1,S,NC,1983-Q2,-0.1973543
USA,Q,ULCE,_T,PP,V,G1,S,NC,1983-Q3,0.03767369
USA,Q,ULCE,_T,PP,V,G1,S,NC,1983-Q4,0.7829329
USA,Q,ULCE,_T,PP,V,G1,S,NC,1984-Q1,0.6680691
USA,Q,ULCE,_T,PP,V,G1,S,NC,1984-Q2,0.5678197
USA,Q,ULCE,_T,PP,V,G1,S,NC,1984-Q3,0.977748
USA,Q,ULCE,_T,PP,V,G1,S,NC,1984-Q4,0.8257552
USA,Q,ULCE,_T,PP,V,G1,S,NC,1985-Q1,0.7829264
USA,Q,ULCE,_T,PP,V,G1,S,NC,1985-Q2,0.7598757
USA,Q,ULCE,_T,PP,V,G1,S,NC,1985-Q3,0.1995823
USA,Q,ULCE,_T,PP,V,G1,S,NC,1985-Q4,1.279111
USA,Q,ULCE,_T,PP,V,G1,S,NC,1986-Q1,0.3049095
USA,Q,ULCE,_T,PP,V,G1,S,NC,1986-Q2,0.6382939
USA,Q,ULCE,_T,PP,V,G1,S,NC,1986-Q3,0.701168
USA,Q,ULCE,_T,PP,V,G1,S,NC,1986-Q4,1.41296
USA,Q,ULCE,_T,PP,V,G1,S,NC,1987-Q1,0.7985338
USA,Q,ULCE,_T,PP,V,G1,S,NC,1987-Q2,0.6829741
USA,Q,ULCE,_T,PP,V,G1,S,NC,1987-Q3,0.819252
USA,Q,ULCE,_T,PP,V,G1,S,NC,1987-Q4,0.7967507
USA,Q,ULCE,_T,PP,V,G1,S,NC,1988-Q1,1.091613
USA,Q,ULCE,_T,PP,V,G1,S,NC,1988-Q2,1.317811
USA,Q,ULCE,_T,PP,V,G1,S,NC,1988-Q3,1.002048
USA,Q,ULCE,_T,PP,V,G1,S,NC,1988-Q4,0.6808926
USA,Q,ULCE,_T,PP,V,G1,S,NC,1989-Q1,0.3342911
USA,Q,ULCE,_T,PP,V,G1,S,NC,1989-Q2,0.3518352
USA,Q,ULCE,_T,PP,V,G1,S,NC,1989-Q3,0.5877247
USA,Q,ULCE,_T,PP,V,G1,S,NC,1989-Q4,1.484193
USA,Q,ULCE,_T,PP,V,G1,S,NC,1990-Q1,0.6936252
USA,Q,ULCE,_T,PP,V,G1,S,NC,1990-Q2,1.662272
USA,Q,ULCE,_T,PP,V,G1,S,NC,1990-Q3,1.054212
USA,Q,ULCE,_T,PP,V,G1,S,NC,1990-Q4,1.323731
USA,Q,ULCE,_T,PP,V,G1,S,NC,1991-Q1,0.6724355
USA,Q,ULCE,_T,PP,V,G1,S,NC,1991-Q2,0.5541326
USA,Q,ULCE,_T,PP,V,G1,S,NC,1991-Q3,0.6921922
USA,Q,ULCE,_T,PP,V,G1,S,NC,1991-Q4,1.014027
USA,Q,ULCE,_T,PP,V,G1,S,NC,1992-Q1,0.651012
USA,Q,ULCE,_T,PP,V,G1,S,NC,1992-Q2,0.4016027
USA,Q,ULCE,_T,PP,V,G1,S,NC,1992-Q3,0.102717
USA,Q,ULCE,_T,PP,V,G1,S,NC,1992-Q4,0.2873479
USA,Q,ULCE,_T,PP,V,G1,S,NC,1993-Q1,0.2009525
USA,Q,ULCE,_T,PP,V,G1,S,NC,1993-Q2,0.920534
USA,Q,ULCE,_T,PP,V,G1,S,NC,1993-Q3,0.2980153
USA,Q,ULCE,_T,PP,V,G1,S,NC,1993-Q4,0.02418054
USA,Q,ULCE,_T,PP,V,G1,S,NC,1994-Q1,-0.08767446
USA,Q,ULCE,_T,PP,V,G1,S,NC,1994-Q2,0.4804943
USA,Q,ULCE,_T,PP,V,G1,S,NC,1994-Q3,0.3837528
USA,Q,ULCE,_T,PP,V,G1,S,NC,1994-Q4,0.08241975
USA,Q,ULCE,_T,PP,V,G1,S,NC,1995-Q1,0.7445029
USA,Q,ULCE,_T,PP,V,G1,S,NC,1995-Q2,0.4474211
USA,Q,ULCE,_T,PP,V,G1,S,NC,1995-Q3,0.3529733
USA,Q,ULCE,_T,PP,V,G1,S,NC,1995-Q4,0.3185837
USA,Q,ULCE,_T,PP,V,G1,S,NC,1996-Q1,0.4956985
USA,Q,ULCE,_T,PP,V,G1,S,NC,1996-Q2,-0.1428111
USA,Q,ULCE,_T,PP,V,G1,S,NC,1996-Q3,0.4853658
USA,Q,ULCE,_T,PP,V,G1,S,NC,1996-Q4,0.4554158
USA,Q,ULCE,_T,PP,V,G1,S,NC,1997-Q1,1.162114
USA,Q,ULCE,_T,PP,V,G1,S,NC,1997-Q2,-0.3981673
USA,Q,ULCE,_T,PP,V,G1,S,NC,1997-Q3,0.2414595
USA,Q,ULCE,_T,PP,V,G1,S,NC,1997-Q4,1.343172
USA,Q,ULCE,_T,PP,V,G1,S,NC,1998-Q1,0.8070652
USA,Q,ULCE,_T,PP,V,G1,S,NC,1998-Q2,0.9433432
USA,Q,ULCE,_T,PP,V,G1,S,NC,1998-Q3,0.365464
USA,Q,ULCE,_T,PP,V,G1,S,NC,1998-Q4,-0.05620466
USA,Q,ULCE,_T,PP,V,G1,S,NC,1999-Q1,0.6101466
USA,Q,ULCE,_T,PP,V,G1,S,NC,1999-Q2,0.2738039
USA,Q,ULCE,_T,PP,V,G1,S,NC,1999-Q3,0.09521861
USA,Q,ULCE,_T,PP,V,G1,S,NC,1999-Q4,0.6039661
USA,Q,ULCE,_T,PP,V,G1,S,NC,2000-Q1,3.287498
USA,Q,ULCE,_T,PP,V,G1,S,NC,2000-Q2,-1.107019
USA,Q,ULCE,_T,PP,V,G1,S,NC,2000-Q3,1.746684
USA,Q,ULCE,_T,PP,V,G1,S,NC,2000-Q4,-0.1235026
USA,Q,ULCE,_T,PP,V,G1,S,NC,2001-Q1,2.331543
USA,Q,ULCE,_T,PP,V,G1,S,NC,2001-Q2,-0.8060652
USA,Q,ULCE,_T,PP,V,G1,S,NC,2001-Q3,0.03297747
USA,Q,ULCE,_T,PP,V,G1,S,NC,2001-Q4,-0.08344846
USA,Q,ULCE,_T,PP,V,G1,S,NC,2002-Q1,-0.6594097
USA,Q,ULCE,_T,PP,V,G1,S,NC,2002-Q2,0.5909349
USA,Q,ULCE,_T,PP,V,G1,S,NC,2002-Q3,0.09365182
USA,Q,ULCE,_T,PP,V,G1,S,NC,2002-Q4,0.783058
USA,Q,ULCE,_T,PP,V,G1,S,NC,2003-Q1,-0.3178443
USA,Q,ULCE,_T,PP,V,G1,S,NC,2003-Q2,0.5838527
USA,Q,ULCE,_T,PP,V,G1,S,NC,2003-Q3,-0.1315136
USA,Q,ULCE,_T,PP,V,G1,S,NC,2003-Q4,0.5459591
USA,Q,ULCE,_T,PP,V,G1,S,NC,2004-Q1,-0.07330033
USA,Q,ULCE,_T,PP,V,G1,S,NC,2004-Q2,1.127324
USA,Q,ULCE,_T,PP,V,G1,S,NC,2004-Q3,1.213884
USA,Q,ULCE,_T,PP,V,G1,S,NC,2004-Q4,-0.1142431
USA,Q,ULCE,_T,PP,V,G1,S,NC,2005-Q1,-0.1801624
USA,Q,ULCE,_T,PP,V,G1,S,NC,2005-Q2,0.5903429
USA,Q,ULCE,_T,PP,V,G1,S,NC,2005-Q3,0.5576186
USA,Q,ULCE,_T,PP,V,G1,S,NC,2005-Q4,0.7162243
USA,Q,ULCE,_T,PP,V,G1,S,NC,2006-Q1,1.164751
USA,Q,ULCE,_T,PP,V,G1,S,NC,2006-Q2,0.2760621
USA,Q,ULCE,_T,PP,V,G1,S,NC,2006-Q3,0.5095401
USA,Q,ULCE,_T,PP,V,G1,S,NC,2006-Q4,1.149474
USA,Q,ULCE,_T,PP,V,G1,S,NC,2007-Q1,1.965824
USA,Q,ULCE,_T,PP,V,G1,S,NC,2007-Q2,-0.1430319
USA,Q,ULCE,_T,PP,V,G1,S,NC,2007-Q3,-0.2650127
USA,Q,ULCE,_T,PP,V,G1,S,NC,2007-Q4,0.4532853
USA,Q,ULCE,_T,PP,V,G1,S,NC,2008-Q1,1.449454
USA,Q,ULCE,_T,PP,V,G1,S,NC,2008-Q2,-0.5689006
USA,Q,ULCE,_T,PP,V,G1,S,NC,2008-Q3,0.6775152
USA,Q,ULCE,_T,PP,V,G1,S,NC,2008-Q4,1.629398
USA,Q,ULCE,_T,PP,V,G1,S,NC,2009-Q1,-2.593567
USA,Q,ULCE,_T,PP,V,G1,S,NC,2009-Q2,0.6568897
USA,Q,ULCE,_T,PP,V,G1,S,NC,2009-Q3,-0.5615851
USA,Q,ULCE,_T,PP,V,G1,S,NC,2009-Q4,-0.4443483
USA,Q,ULCE,_T,PP,V,G1,S,NC,2010-Q1,-0.8577861
USA,Q,ULCE,_T,PP,V,G1,S,NC,2010-Q2,0.9044884
USA,Q,ULCE,_T,PP,V,G1,S,NC,2010-Q3,-0.03046003
USA,Q,ULCE,_T,PP,V,G1,S,NC,2010-Q4,0.1786973
USA,Q,ULCE,_T,PP,V,G1,S,NC,2011-Q1,1.85232
USA,Q,ULCE,_T,PP,V,G1,S,NC,2011-Q2,-0.3103974
USA,Q,ULCE,_T,PP,V,G1,S,NC,2011-Q3,0.8494269
USA,Q,ULCE,_T,PP,V,G1,S,NC,2011-Q4,-1.659917
USA,Q,ULCE,_T,PP,V,G1,S,NC,2012-Q2,0.1595155
USA,Q,ULCE,_T,PP,V,G1,S,NC,2012-Q3,0.4153326
USA,Q,ULCE,_T,PP,V,G1,S,NC,2012-Q4,2.376679
USA,Q,ULCE,_T,PP,V,G1,S,NC,2013-Q1,-1.44601
USA,Q,ULCE,_T,PP,V,G1,S,NC,2013-Q2,0.7342103
USA,Q,ULCE,_T,PP,V,G1,S,NC,2013-Q3,-0.5445668
USA,Q,ULCE,_T,PP,V,G1,S,NC,2013-Q4,0.008604464
USA,Q,ULCE,_T,PP,V,G1,S,NC,2014-Q1,2.376313
USA,Q,ULCE,_T,PP,V,G1,S,NC,2014-Q2,-0.8541232
USA,Q,ULCE,_T,PP,V,G1,S,NC,2014-Q3,0.02534445
USA,Q,ULCE,_T,PP,V,G1,S,NC,2014-Q4,1.251355
USA,Q,ULCE,_T,PP,V,G1,S,NC,2015-Q1,0.4481024
USA,Q,ULCE,_T,PP,V,G1,S,NC,2015-Q2,0.5623861
USA,Q,ULCE,_T,PP,V,G1,S,NC,2015-Q3,0.33311
USA,Q,ULCE,_T,PP,V,G1,S,NC,2015-Q4,0.285436
USA,Q,ULCE,_T,PP,V,G1,S,NC,2016-Q1,-0.03197503
USA,Q,ULCE,_T,PP,V,G1,S,NC,2016-Q2,0.2846152
USA,Q,ULCE,_T,PP,V,G1,S,NC,2016-Q3,0.06330042
USA,Q,ULCE,_T,PP,V,G1,S,NC,2016-Q4,0.4882029
USA,Q,ULCE,_T,PP,V,G1,S,NC,2017-Q1,0.6582944
USA,Q,ULCE,_T,PP,V,G1,S,NC,2017-Q2,0.4817463
USA,Q,ULCE,_T,PP,V,G1,S,NC,2017-Q3,0.4819538
USA,Q,ULCE,_T,PP,V,G1,S,NC,2017-Q4,0.7397805
USA,Q,ULCE,_T,PP,V,G1,S,NC,2018-Q1,0.3965477
USA,Q,ULCE,_T,PP,V,G1,S,NC,2018-Q2,0.4140064
USA,Q,ULCE,_T,PP,V,G1,S,NC,2018-Q3,0.7260778
USA,Q,ULCE,_T,PP,V,G1,S,NC,2018-Q4,0.4525445
USA,Q,ULCE,_T,PP,V,G1,S,NC,2019-Q1,1.248874
USA,Q,ULCE,_T,PP,V,G1,S,NC,2019-Q2,-0.4775264
USA,Q,ULCE,_T,PP,V,G1,S,NC,2019-Q3,-0.4807943
USA,Q,ULCE,_T,PP,V,G1,S,NC,2019-Q4,0.7055979
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q1,2.771893
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q2,2.093535
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q3,-2.766444
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q4,2.376129
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q1,-0.325423
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q2,0.9113376
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q3,1.705639
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q4,0.6659611
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q1,1.346012
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q2,0.6509072
